Adım 184: Hücre(4,4) sıfırlandı.
Adım 184: Hücre(4,2) sıfırlandı.
Adım 184: Hücre(4,1) sıfırlandı.
Adım 184: Hücre(4,0) sıfırlandı.
Adım 184: Hücre(3,8) sıfırlandı.
Adım 184: Hücre(3,7) sıfırlandı.
Adım 184: Hücre(3,5) sıfırlandı.
Adım 184: Hücre(3,4) sıfırlandı.
Adım 184: Hücre(3,3) sıfırlandı.
Adım 184: Hücre(3,2) sıfırlandı.
Adım 185: Hücre(3,2) = 6
Adım 186: Hücre(3,3) = 9
Adım 187: Hücre(3,4) = 2
Adım 188: Hücre(3,5) = 1
Adım 189: Hücre(3,7) = 8
Adım 189: Hücre(3,7) sıfırlandı.
Adım 189: Hücre(3,5) sıfırlandı.
Adım 190: Hücre(3,5) = 4
Adım 191: Hücre(3,7) = 1
Adım 192: Hücre(3,8) = 8
Adım 192: Hücre(3,8) sıfırlandı.
Adım 192: Hücre(3,7) sıfırlandı.
Adım 193: Hücre(3,7) = 8
Adım 194: Hücre(3,8) = 1
Adım 194: Hücre(3,8) sıfırlandı.
Adım 194: Hücre(3,7) sıfırlandı.
Adım 194: Hücre(3,5) sıfırlandı.
Adım 194: Hücre(3,4) sıfırlandı.
Adım 195: Hücre(3,4) = 4
Adım 196: Hücre(3,5) = 1
Adım 197: Hücre(3,7) = 2
Adım 198: Hücre(3,8) = 8
Adım 198: Hücre(3,8) sıfırlandı.
Adım 198: Hücre(3,7) sıfırlandı.
Adım 199: Hücre(3,7) = 8
Adım 199: Hücre(3,7) sıfırlandı.
Adım 199: Hücre(3,5) sıfırlandı.
Adım 200: Hücre(3,5) = 2
Adım 201: Hücre(3,7) = 1
Adım 202: Hücre(3,8) = 8
Adım 202: Hücre(3,8) sıfırlandı.
Adım 202: Hücre(3,7) sıfırlandı.
Adım 203: Hücre(3,7) = 8
Adım 204: Hücre(3,8) = 1
Adım 204: Hücre(3,8) sıfırlandı.
Adım 204: Hücre(3,7) sıfırlandı.
Adım 204: Hücre(3,5) sıfırlandı.
Adım 204: Hücre(3,4) sıfırlandı.
Adım 204: Hücre(3,3) sıfırlandı.
Adım 204: Hücre(3,2) sıfırlandı.
Adım 205: Hücre(3,2) = 8
Adım 206: Hücre(3,3) = 6
Adım 207: Hücre(3,4) = 2
Adım 208: Hücre(3,5) = 1
Adım 208: Hücre(3,5) sıfırlandı.
Adım 209: Hücre(3,5) = 4
Adım 210: Hücre(3,7) = 1
Adım 210: Hücre(3,7) sıfırlandı.
Adım 210: Hücre(3,5) sıfırlandı.
Adım 210: Hücre(3,4) sıfırlandı.
Adım 211: Hücre(3,4) = 4
Adım 212: Hücre(3,5) = 1
Adım 213: Hücre(3,7) = 2
Adım 213: Hücre(3,7) sıfırlandı.
Adım 213: Hücre(3,5) sıfırlandı.
Adım 214: Hücre(3,5) = 2
Adım 215: Hücre(3,7) = 1
Adım 215: Hücre(3,7) sıfırlandı.
Adım 215: Hücre(3,5) sıfırlandı.
Adım 215: Hücre(3,4) sıfırlandı.
Adım 215: Hücre(3,3) sıfırlandı.
Adım 216: Hücre(3,3) = 9
Adım 217: Hücre(3,4) = 2
Adım 218: Hücre(3,5) = 1
Adım 218: Hücre(3,5) sıfırlandı.
Adım 219: Hücre(3,5) = 4
Adım 220: Hücre(3,7) = 1
Adım 220: Hücre(3,7) sıfırlandı.
Adım 220: Hücre(3,5) sıfırlandı.
Adım 220: Hücre(3,4) sıfırlandı.
Adım 221: Hücre(3,4) = 4
Adım 222: Hücre(3,5) = 1
Adım 223: Hücre(3,7) = 2
Adım 223: Hücre(3,7) sıfırlandı.
Adım 223: Hücre(3,5) sıfırlandı.
Adım 224: Hücre(3,5) = 2
Adım 225: Hücre(3,7) = 1
Adım 225: Hücre(3,7) sıfırlandı.
Adım 225: Hücre(3,5) sıfırlandı.
Adım 225: Hücre(3,4) sıfırlandı.
Adım 226: Hücre(3,4) = 6
Adım 227: Hücre(3,5) = 1
Adım 228: Hücre(3,7) = 2
Adım 228: Hücre(3,7) sıfırlandı.
Adım 228: Hücre(3,5) sıfırlandı.
Adım 229: Hücre(3,5) = 2
Adım 230: Hücre(3,7) = 1
Adım 230: Hücre(3,7) sıfırlandı.
